Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações
"Cordilheira Alta";"SC";"4585";"Sim";"16,21%";"75,62%";"31,95%";"Não há"
"Cordisburgo";"MG";"8903";"Sim";"34,39%";"63,63%";"31,23%";"2%"
"Cordislândia";"MG";"3546";"Não";"28,85%";"19,83%";"19,74%";"Não há"
"Coreaú";"CE";"23340";"Em elaboração";"60,95%";"90,93%";"--";"--"
"Coremas";"PB";"15438";"Não";"--";"--";"--";"--"
"Corguinho";"MS";"6158";"Não";"10,69%";"78,89%";"62,65%";"7,1%"
"Coribe";"BA";"14108";"Em elaboração";"--";"--";"42,76%";"3%"
"Corinto";"MG";"23607";"Não";"22,45%";"42,11%";"11,37%";"1%"
"Cornélio Procópio";"PR";"47840";"Sim";"0,01%";"0,01%";"0,08%";"Não há"
"Coroaci";"MG";"9897";"Sim";"47,49%";"43,63%";"--";"--"
"Coroados";"SP";"6197";"Em elaboração";"12,57%";"13,8%";"Atendimento Pleno";"Não há"
"Coroatá";"MA";"65788";"Não";"22,95%";"94,26%";"--";"--"
"Coromandel";"MG";"27958";"Sim";"27,66%";"28,46%";"10,58%";"0,1%"
"Coronel Barros";"RS";"2521";"Em elaboração";"0,08%";"--";"27,81%";"Não há"
"Coronel Bicaco";"RS";"7213";"Sim";"34,59%";"--";"Atendimento Pleno";"6,2%"
"Coronel Domingos Soares";"PR";"7538";"Sim";"51,94%";"--";"75,78%";"0,6%"
"Coronel Ezequiel";"RN";"5501";"Em elaboração";"34,63%";"--";"57,95%";"--"
"Coronel Fabriciano";"MG";"110709";"Sim";"19,15%";"22,39%";"Atendimento Pleno";"13,7%"
"Coronel Freitas";"SC";"9900";"Sim";"26,37%";"--";"29,29%";"2,2%"
"Coronel João Pessoa";"RN";"4918";"Em elaboração";"77,63%";"--";"34,93%";"Não há"
"Coronel João Sá";"BA";"15549";"Não";"51,05%";"54,43%";"58,73%";"Não há"
"Coronel José Dias";"PI";"4688";"Não";"47,74%";"--";"44,54%";"Não há"
"Coronel Macedo";"SP";"4591";"Sim";"4,42%";"10,85%";"21,37%";"Não há"
"Coronel Martins";"SC";"2560";"Sim";"59,3%";"--";"72,15%";"Não há"
"Coronel Murta";"MG";"9209";"Não";"30,01%";"63,04%";"26,58%";"Não há"
"Coronel Pacheco";"MG";"3095";"Não";"28,21%";"28,21%";"28,08%";"1,9%"
"Coronel Pilar";"RS";"1602";"Sim";"69,29%";"85,96%";"89,89%";"Não há"
"Coronel Sapucaia";"MS";"15449";"Não";"33,03%";"58,54%";"32,03%";"--"
"Coronel Vivida";"PR";"20430";"Sim";"0,01%";"46,42%";"Atendimento Pleno";"0,9%"
"Coronel Xavier Chaves";"MG";"3448";"Em elaboração";"45,1%";"45,68%";"0,96%";"1,5%"
"Córrego Danta";"MG";"3168";"Não";"41,86%";"3,72%";"38,42%";"0,4%"
"Córrego do Bom Jesus";"MG";"3685";"Não";"3,8%";"73,51%";"14,52%";"1%"
"Córrego do Ouro";"GO";"2254";"Não";"30,75%";"--";"Atendimento Pleno";"Não há"
"Córrego Fundo";"MG";"6425";"Sim";"11,92%";"36,56%";"5%";"Não há"
"Córrego Novo";"MG";"2688";"Em elaboração";"27,98%";"Atendimento Pleno";"13,99%";"--"
"Correia Pinto";"SC";"12315";"Sim";"0,57%";"--";"15,55%";"13,3%"
"Corrente";"PI";"26771";"Não";"11,14%";"84,8%";"--";"Não há"
"Correntes";"PE";"18327";"Sim";"19,6%";"--";"34,52%";"--"
"Correntina";"BA";"32243";"Em elaboração";"18,03%";"75,04%";"34,53%";"0,8%"
"Cortês";"PE";"12543";"Não";"--";"--";"40,01%";"17,2%"
"Corumbá";"MS";"112669";"Não";"12,51%";"46,67%";"5%";"5,9%"
"Corumbá de Goiás";"GO";"11223";"Não";"1,54%";"--";"34,69%";"Não há"
"Corumbaíba";"GO";"10012";"Sim";"19,36%";"23,6%";"22,9%";"Não há"
"Corumbataí";"SP";"4072";"Sim";"37,67%";"45,97%";"45,97%";"Não há"
"Corumbataí do Sul";"PR";"3038";"Sim";"0,03%";"20,08%";"7,83%";"Não há"
"Corumbiara";"RO";"7052";"Em elaboração";"70,5%";"--";"70,5%";"Não há"
"Corupá";"SC";"16300";"Sim";"Atendimento Pleno";"--";"1,84%";"2,4%"
"Coruripe";"AL";"57647";"Em elaboração";"Atendimento Pleno";"75,81%";"11,68%";"1,6%"
"Cosmópolis";"SP";"74662";"Em elaboração";"3,28%";"8,92%";"Atendimento Pleno";"0,1%"
"Cosmorama";"SP";"7289";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"17,68%";"Não há"
"Costa Marques";"RO";"19255";"Em elaboração";"81,15%";"--";"48,07%";"0,8%"
"Costa Rica";"MS";"21456";"Sim";"Atendimento Pleno";"16,11%";"14,46%";"Não há"
"Cotegipe";"BA";"13756";"Não";"51,32%";"--";"30,94%";"0,2%"
"Cotia";"SP";"257882";"Sim";"Atendimento Pleno";"40,77%";"Atendimento Pleno";"Não há"
"Cotiporã";"RS";"3824";"Sim";"43,59%";"92,97%";"21,55%";"Não há"
"Cotriguaçu";"MT";"20717";"Em elaboração";"97,1%";"--";"66,21%";"Não há"
"Couto de Magalhães de Minas";"MG";"4436";"Sim";"16,07%";"23,69%";"8,77%";"0,2%"
"Couto Magalhães";"TO";"5690";"Sim";"2,88%";"--";"--";"Não há"
"Coxilha";"RS";"2731";"Sim";"Atendimento Pleno";"--";"38,19%";"Não há"
"Coxim";"MS";"33547";"Não";"10,28%";"87,84%";"2,98%";"--"
"Coxixola";"PB";"1948";"Não";"44,1%";"--";"--";"--"
"Craíbas";"AL";"24396";"Não";"39,92%";"--";"75,41%";"Não há"
"Crateús";"CE";"75241";"Sim";"49,86%";"67,74%";"17%";"11,9%"
"Crato";"CE";"133913";"Sim";"0,56%";"70,85%";"30,19%";"0,5%"
"Cravinhos";"SP";"35858";"Em elaboração";"2,49%";"2,49%";"2,49%";"0,1%"
"Cravolândia";"BA";"5352";"Não";"33,88%";"50,21%";"15,92%";"14,1%"
"Criciúma";"SC";"219393";"Sim";"Atendimento Pleno";"65,75%";"Atendimento Pleno";"1,3%"
"Crisólita";"MG";"6814";"Não";"43,73%";"43,73%";"42,3%";"1,7%"
"Crisópolis";"BA";"21219";"Não";"57,15%";"--";"57,04%";"--"
"Crissiumal";"RS";"13269";"Em elaboração";"56,38%";"--";"56,52%";"3,5%"
"Cristais";"MG";"13060";"Não";"24,6%";"0,46%";"20,87%";"2,1%"
"Cristais Paulista";"SP";"8803";"Não";"27,3%";"27,3%";"1,17%";"Não há"
"Cristal";"RS";"8121";"Sim";"44%";"--";"38,43%";"0,5%"
"Cristal do Sul";"RS";"2840";"Sim";"--";"--";"67,04%";"5,3%"
"Cristalândia";"TO";"7268";"Não";"12,8%";"--";"17,72%";"0,5%"
"Cristalândia do Piauí";"PI";"8350";"Sim";"88,84%";"--";"--";"--"
"Cristália";"MG";"5992";"Sim";"56,93%";"77,65%";"47%";"Não há"
"Cristalina";"GO";"61385";"Em elaboração";"25,38%";"62,64%";"26,69%";"Não há"
"Cristiano Otoni";"MG";"5161";"Sim";"24,32%";"40,88%";"16,99%";"0,5%"
"Cristianópolis";"GO";"2962";"Em elaboração";"13,44%";"--";"15,7%";"Não há"
"Cristina";"MG";"10211";"Não";"0,11%";"1,09%";"10,04%";"--"
"Cristinápolis";"SE";"18181";"Em elaboração";"16,81%";"--";"1%";"Não há"
"Cristino Castro";"PI";"10464";"Em elaboração";"20,65%";"--";"27,25%";"7,9%"
"Cristópolis";"BA";"13981";"Em elaboração";"64,53%";"--";"64,24%";"--"
"Crixás";"GO";"17136";"Sim";"20,92%";"--";"24,14%";"--"
"Crixás do Tocantins";"TO";"1749";"Sim";"8,12%";"--";"44,25%";"--"
"Croatá";"CE";"18201";"Sim";"74,33%";"93,28%";"17,59%";"--"
"Cromínia";"GO";"3458";"Não";"21,54%";"--";"24,75%";"Não há"
"Crucilândia";"MG";"5072";"Não";"37,56%";"37,38%";"37,38%";"Não há"
"Cruz";"CE";"25121";"Em elaboração";"70,57%";"--";"50%";"5,3%"
"Cruz Alta";"RS";"59561";"Sim";"3,54%";"79,08%";"3,54%";"--"
"Cruz das Almas";"BA";"63923";"Não";"8,98%";"54,68%";"Atendimento Pleno";"Não há"
"Cruz do Espírito Santo";"PB";"17599";"Não";"58,03%";"--";"54,24%";"17%"
"Cruz Machado";"PR";"18772";"Não";"62,16%";"96,63%";"60,05%";"35,4%"
"Cruzália";"SP";"2021";"Sim";"5,1%";"6,93%";"Atendimento Pleno";"Não há"
"Cruzaltense";"RS";"1765";"Sim";"77,17%";"89,46%";"43,34%";"20%"
"Cruzeiro";"SP";"82895";"Sim";"Atendimento Pleno";"2,55%";"2,55%";"0,6%"
"Cruzeiro da Fortaleza";"MG";"3651";"Sim";"14,41%";"Atendimento Pleno";"14,57%";"Não há"
"Cruzeiro do Iguaçu";"PR";"4229";"Em elaboração";"2,03%";"--";"Atendimento Pleno";"Não há"
"Cruzeiro do Oeste";"PR";"20962";"Não";"0,01%";"18,49%";"2,15%";"Não há"
"Cruzeiro do Sul";"AC";"89760";"Em elaboração";"49,46%";"--";"14,22%";"25,4%"
"Cruzeiro do Sul";"PR";"4430";"Em elaboração";"0,02%";"--";"25,4%";"Não há"
"Cruzeiro do Sul";"RS";"12457";"Sim";"40,74%";"--";"30,53%";"3,3%"
"Cruzeta";"RN";"7968";"Sim";"5,36%";"17,8%";"--";"0,3%"
"Cruzília";"MG";"15529";"Sim";"13,84%";"19,08%";"41,43%";"Não há"
"Cruzmaltina";"PR";"2892";"Não";"18,95%";"--";"--";"--"
"Cubatão";"SP";"132521";"Em elaboração";"15,55%";"45,86%";"Atendimento Pleno";"2,4%"
"Cubati";"PB";"7866";"Sim";"25,4%";"98,63%";"30,54%";"Não há"
"Cuiabá";"MT";"623614";"Sim";"1,87%";"23,57%";"3,51%";"0,5%"
"Cuité";"PB";"20331";"Não";"Sem Atendimento";"--";"21,3%";"1,7%"
"Cuité de Mamanguape";"PB";"6360";"Não";"69,39%";"--";"44,97%";"Não há"
"Cuitegi";"PB";"6748";"Não";"Atendimento Pleno";"--";"11,08%";"7,3%"
"Cujubim";"RO";"27131";"Em elaboração";"93%";"--";"30,35%";"--"
"Cumari";"GO";"2820";"Não";"13,87%";"--";"--";"--"
"Cumaru";"PE";"9494";"Não";"21,5%";"--";"--";"--"
"Cumaru do Norte";"PA";"14044";"Não";"--";"--";"78,64%";"Não há"
"Cumbe";"SE";"4008";"Não";"2,87%";"50,1%";"12,67%";"Não há"
"Cunha";"SP";"21373";"Em elaboração";"44,36%";"70,83%";"44,36%";"1,2%"
"Cunha Porã";"SC";"11150";"Sim";"29,52%";"--";"38,57%";"0,4%"
"Cunhataí";"SC";"1972";"Sim";"54,21%";"--";"69,78%";"4%"
"Cuparaque";"MG";"5026";"Sim";"84,58%";"Atendimento Pleno";"16,99%";"1%"
"Cupira";"PE";"24237";"Não";"Atendimento Pleno";"21,26%";"4,62%";"0,7%"
"Curaçá";"BA";"35065";"Não";"12,24%";"68,69%";"31,56%";"4,7%"
"Curimatá";"PI";"11461";"Não";"16,07%";"--";"34,17%";"1%"
"Curionópolis";"PA";"17764";"Não";"31,49%";"--";"--";"--"
"Curitiba";"PR";"1963726";"Sim";"Atendimento Pleno";"0,02%";"Atendimento Pleno";"Não há"
"Curitibanos";"SC";"40037";"Sim";"0,2%";"80,99%";"4,95%";"0,2%"
"Curiúva";"PR";"15289";"Em elaboração";"16,94%";"--";"7,12%";"0,2%"
"Currais";"PI";"4982";"Não";"Atendimento Pleno";"--";"73,36%";"17,8%"
"Currais Novos";"RN";"45022";"Em elaboração";"22,79%";"36,94%";"2,27%";"10,1%"
"Curral de Cima";"PB";"5209";"Não";"--";"--";"--";"--"
"Curral de Dentro";"MG";"7867";"Sim";"25,33%";"36,44%";"23,73%";"1,7%"
"Curral Novo do Piauí";"PI";"5390";"Em elaboração";"83,78%";"--";"--";"Não há"
"Curral Velho";"PB";"2508";"Não";"--";"--";"43,7%";"--"
"Curralinho";"PA";"35530";"Sim";"70,7%";"--";"77,77%";"Não há"
"Curralinhos";"PI";"4475";"Não";"--";"--";"48,18%";"Não há"
"Curuá";"PA";"14776";"Não";"52,82%";"--";"52,82%";"1,6%"
"Curuçá";"PA";"41093";"Não";"--";"--";"33,1%";"Não há"
"Cururupu";"MA";"32559";"Não";"6,85%";"--";"31,79%";"0,1%"
"Curvelândia";"MT";"5267";"Não";"40,54%";"--";"--";"--"
"Curvelo";"MG";"81085";"Em elaboração";"14,29%";"25,85%";"2,84%";"Não há"
"Custódia";"PE";"37633";"Sim";"40,31%";"--";"--";"--"
"Cutias";"AP";"6217";"Em elaboração";"55,7%";"--";"10,46%";"--"
"Damianópolis";"GO";"3302";"Sim";"42,04%";"--";"19,75%";"Não há"
"Damião";"PB";"5409";"Em elaboração";"Sem Atendimento";"--";"44,54%";"Não há"
"Damolândia";"GO";"2944";"Em elaboração";"18,92%";"--";"20,58%";"Não há"
"Darcinópolis";"TO";"6250";"Não";"--";"--";"33,84%";"0,5%"
"Dário Meira";"BA";"10347";"Em elaboração";"60,57%";"--";"--";"--"
"Datas";"MG";"5431";"Sim";"0,18%";"28,23%";"40,86%";"Não há"
"David Canabarro";"RS";"4732";"Sim";"59,17%";"--";"59,17%";"--"
"Davinópolis";"GO";"2094";"Sim";"30,13%";"--";"--";"--"
"Davinópolis";"MA";"12923";"Não";"22,87%";"--";"29,58%";"Não há"
"Delfim Moreira";"MG";"8007";"Em elaboração";"62,53%";"62,53%";"36,31%";"10,8%"
"Delfinópolis";"MG";"7146";"Não";"46,81%";"51,86%";"Atendimento Pleno";"Não há"
"Delmiro Gouveia";"AL";"52501";"Em elaboração";"0,63%";"91,6%";"8,47%";"0,3%"
"Delta";"MG";"10994";"Sim";"4,27%";"8,23%";"Atendimento Pleno";"10,5%"
"Demerval Lobão";"PI";"13862";"Sim";"16,33%";"--";"20,26%";"2,1%"
"Denise";"MT";"9626";"Sim";"--";"--";"14,44%";"Não há"
"Deodápolis";"MS";"13043";"Em elaboração";"18,06%";"82,74%";"17,24%";"Não há"
"Deputado Irapuan Pinheiro";"CE";"9698";"Sim";"31,12%";"--";"54,72%";"Não há"
"Derrubadas";"RS";"2718";"Sim";"71,74%";"--";"63,21%";"Não há"
"Descalvado";"SP";"34097";"Em elaboração";"9,46%";"10,65%";"10,77%";"Não há"
"Descanso";"SC";"8136";"Sim";"32,52%";"--";"50,23%";"0,2%"
"Descoberto";"MG";"5044";"Sim";"19,05%";"14,65%";"14,65%";"1,6%"
"Desterro";"PB";"8332";"Sim";"45,08%";"--";"--";"--"
"Desterro de Entre Rios";"MG";"7266";"Sim";"40,48%";"47,3%";"32,56%";"0,8%"
"Desterro do Melo";"MG";"2867";"Em elaboração";"51,52%";"53,54%";"53,89%";"Não há"
"Dezesseis de Novembro";"RS";"2331";"Sim";"Atendimento Pleno";"--";"76,75%";"Não há"
"Diadema";"SP";"429550";"Não";"Atendimento Pleno";"Atendimento Pleno";"Atendimento Pleno";"0,3%"
"Diamante";"PB";"6506";"Não";"27,42%";"--";"--";"--"
"Diamante D'Oeste";"PR";"5279";"Sim";"30,12%";"--";"19,98%";"1,7%"
"Diamante do Norte";"PR";"4975";"Não";"0,02%";"28,46%";"17,49%";"0,9%"
"Diamante do Sul";"PR";"3409";"Sim";"39,28%";"--";"41,33%";"Não há"
"Diamantina";"MG";"47924";"Sim";"15,34%";"33,2%";"16,53%";"0,3%"
"Diamantino";"MT";"22311";"Sim";"21,86%";"56,57%";"21,86%";"0,8%"
"Dianópolis";"TO";"22704";"Sim";"9,04%";"--";"14,95%";"Não há"
"Dias d'Ávila";"BA";"83705";"Sim";"2,35%";"54,2%";"0,84%";"Não há"
"Dilermando de Aguiar";"RS";"2991";"Sim";"67,67%";"--";"36,48%";"Não há"
"Diogo de Vasconcelos";"MG";"3779";"Não";"12,01%";"58,16%";"49,85%";"Não há"
"Dionísio";"MG";"7493";"Sim";"52,77%";"18,02%";"18,02%";"1,6%"
"Dionísio Cerqueira";"SC";"15592";"Sim";"24,11%";"62,78%";"31,2%";"1,2%"
"Diorama";"GO";"2477";"Não";"37,42%";"--";"70,93%";"Não há"
"Dirce Reis";"SP";"1805";"Sim";"17,73%";"20,44%";"Atendimento Pleno";"Não há"
"Dirceu Arcoverde";"PI";"7046";"Não";"67,8%";"--";"--";"--"
"Divina Pastora";"SE";"5290";"Em elaboração";"52%";"--";"7,37%";"Não há"
"Divinésia";"MG";"3430";"Sim";"33,47%";"12,54%";"34,31%";"6,5%"
"Divino";"MG";"20020";"Sim";"49,21%";"54,94%";"43,58%";"1,3%"
"Divino das Laranjeiras";"MG";"4969";"Em elaboração";"28,68%";"20,51%";"5,41%";"Não há"
"Divino de São Lourenço";"ES";"4236";"Em elaboração";"62,18%";"62,18%";"33,9%";"12,5%"
"Divinolândia";"SP";"11027";"Sim";"22,24%";"31,14%";"9,31%";"7,9%"
"Divinolândia de Minas";"MG";"7655";"Em elaboração";"5,94%";"33,38%";"18%";"--"
"Divinópolis";"MG";"242505";"Sim";"5,62%";"14,76%";"2,58%";"3,2%"
"Divinópolis de Goiás";"GO";"4701";"Sim";"25,31%";"--";"--";"--"
"Divinópolis do Tocantins";"TO";"6986";"Não";"29,82%";"--";"29,82%";"Não há"
"Divisa Alegre";"MG";"6946";"Em elaboração";"16,14%";"--";"2,1%";"Não há"
"Divisa Nova";"MG";"6039";"Não";"25,09%";"19,16%";"8,59%";"Não há"
"Divisópolis";"MG";"11396";"Não";"33,97%";"72,19%";"28,65%";"0,8%"
"Dobrada";"SP";"9088";"Sim";"2,23%";"2,23%";"2,45%";"Não há"
"Dois Córregos";"SP";"27704";"Não";"5,31%";"5,66%";"5,31%";"0,1%"
"Dois Irmãos";"RS";"33547";"Sim";"4,02%";"99,63%";"1,07%";"Não há"
"Dois Irmãos das Missões";"RS";"1992";"Sim";"Atendimento Pleno";"--";"32,23%";"Não há"
"Dois Irmãos do Buriti";"MS";"11547";"Em elaboração";"55,04%";"57,69%";"--";"Não há"
"Dois Irmãos do Tocantins";"TO";"7173";"Não";"63,95%";"99,3%";"61,22%";"Não há"
"Dois Lajeados";"RS";"3410";"Em elaboração";"51,99%";"--";"52,29%";"Não há"
"Dois Riachos";"AL";"11059";"Sim";"57,85%";"--";"53,26%";"22,1%"
"Dois Vizinhos";"PR";"41424";"Sim";"0,01%";"28,27%";"22,34%";"17,2%"
"Dolcinópolis";"SP";"2108";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"Atendimento Pleno";"--"
"Dom Aquino";"MT";"8087";"Sim";"--";"--";"--";"--"
"Dom Basílio";"BA";"12281";"Em elaboração";"24,88%";"--";"51,14%";"Não há"
"Dom Bosco";"MG";"3635";"Sim";"14,72%";"66,99%";"40%";"Não há"
