Par&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2014],PIB per capita - R$ [2020],
Nova Timboteua,1505007,timboteuense,CLAUDIA DO SOCORRO PINHEIRO NETO,489.853,12806,26.14,97.6,0.609,21.9,27909.53413,25184.72207,9267.06,
Novo Progresso,1505031,progressense,GELSON LUIZ DILL,38162.002,33638,0.88,94.2,0.673,9.72,79429.78893,74807.18656,32078.77,
Novo Repartimento,1505064,novo-repartimentense,VALDIR LEMES MACHADO,15398.723,60732,3.94,90.9,0.537,24.29,159019.55224,153177.64292,12171.19,
&Oacute;bidos,1505106,obidense,JAIME BARBOSA DA SILVA,28011.041,52229,1.86,95.4,0.594,15.99,95371.50491,94078.75427,17152.06,
Oeiras do Par&aacute;,1505205,oeirense,GILMA DRAGO RIBEIRO,3852.291,33844,8.79,95.6,0.507,18.13,67524.31859,66250.16759,13440.70,
Oriximin&aacute;,1505304,oriximinaense,JOSE WILLIAN SIQUEIRA DA FONSECA,107613.838,68294,0.63,96.3,0.623,12.57,195049.18847,187969.27525,33818.92,
Our&eacute;m,1505403,ouremense,FRANCISCO ROBERTO UCHOA CRUZ,561.710,17855,31.79,97.4,0.568,20.27,37649.96034,36261.09425,11317.44,
Ouril&acirc;ndia do Norte,1505437,ourilandense,JULIO CESAR DAIREL,14410.567,32467,2.25,90.4,0.624,22.06,90877.48722,79879.15401,23262.47,
Pacaj&aacute;,1505486,pacajaense,ANDR&Eacute; RIOS DE REZENDE,11832.323,41097,3.47,93,0.515,17.17,86049.17895,83983.5392,14941.10,
Palestina do Par&aacute;,1505494,palestinenses,CLAUDIO ROBERTINO ALVES DOS SANTOS,984.362,6885,6.99,96.6,0.589,25.86,20183.15285,18859.10545,10942.25,
Paragominas,1505502,paragominense,JOAO LUCIDIO LOBATO PAES,19342.565,105538,5.46,95.9,0.645,13.3,338127.96071,351305.86831,32988.59,
Parauapebas,1505536,parauapebense,DARCI JOSE LERMEN,6885.794,266424,38.69,95.8,0.715,11.78,1043305.1063,976054.38594,177992.21,
Pau D'Arco,1505551,paudarquense,FREDSON PEREIRA DA SILVA,1671.419,6931,4.15,95.5,0.574,38.76,22985.79804,23396.57771,17996.91,
Peixe-Boi,1505601,peixe-boiense,JO&Atilde;O PEREIRA DA SILVA NETO,450.224,8285,18.40,95.5,0.581,11.76,23724.38451,22635.68012,8133.00,
Pi&ccedil;arra,1505635,Pi&ccedil;arrense,LAANE BARROS LUCENA,3312.708,12832,3.87,92.6,0.563,23.95,36586.5867,36761.77981,21163.94,
Placas,1505650,plaquense,LEILA RAQUEL POSSIMOSER,7173.194,18668,2.60,92,0.552,10.14,46368.66119,43089.16851,9760.84,
Ponta de Pedras,1505700,ponta-pedrense,CONSUELO MARIA DA SILVA CASTRO,3363.749,24984,7.43,91.3,0.562,15.97,47551.926,44598.03658,7824.38,
Portel,1505809,portelense,VICENTE DE PAULO FERREIRA OLIVEIRA,25384.960,62445,2.46,89.7,0.483,8.18,127014.42261,130777.45228,13985.99,
Porto de Moz,1505908,porto-mozense,ROSIBERGUE TORRES CAMPOS,17423.017,40597,2.33,89.4,0.503,8.2,90609.48151,89916.7002,8336.14,
Prainha,1506005,prainhense,DAVI XAVIER DE MORAES,14786.953,35577,2.41,92.3,0.523,20.59,68.2958,62548.31289,11476.60,
Primavera,1506104,primaverense,&Aacute;UREO BEZERRA GOMES,258.600,10677,41.29,97.2,0.577,23.81,25750.01923,25702.06719,27231.08,
Quatipuru,1506112,quatipuruense,JOS&Eacute; AUGUSTO DIAS DA SILVA,302.939,11524,38.04,96.7,0.543,26.67,21595.30002,20130.75593,8115.73,
Reden&ccedil;&atilde;o,1506138,redencense,MARCELO FRAN&Ccedil;A BORGES,3823.809,85597,22.39,95.5,0.672,19.45,179612.64667,151652.35442,23710.97,
Rio Maria,1506161,rio-mariense,M&Aacute;RCIA FERREIRA LOPES,4114.627,18384,4.47,94.7,0.638,10.38,46135.48397,42238.01849,31395.51,
Rondon do Par&aacute;,1506187,rondonense,ADRIANA ANDRADE OLIVEIRA,8246.394,53143,6.44,91.8,0.602,14.9,89055.96098,87618.99494,11904.57,
Rur&oacute;polis,1506195,ruropolense,JOSELINO PADILHA,7021.321,35769,5.09,87,0.548,22.27,67966.47637,63110.34061,8069.92,
Salin&oacute;polis,1506203,salinopolitano,CARLOS ALBERTO DE SENA FILHO,226.120,44772,198.00,97.3,0.647,11.4,71619.02667,73042.83323,13902.68,
Salvaterra,1506302,salvaterrense,CARLOS ALBERTO SANTOS GOMES,918.563,24129,26.27,97.9,0.608,8.62,46920.40206,45591.61615,8037.37,
Santa B&aacute;rbara do Par&aacute;,1506351,santa-barbarense,MARCUS LE&Acirc;O COLARES,278.154,21089,75.82,97.3,0.627,3.52,37514.17177,32844.23617,10196.64,
Santa Cruz do Arari,1506401,arariense,NICOLAU EUR&Iacute;PEDES BELTR&Atilde;O PAMPLONA,1076.652,7445,6.91,92.8,0.557,50,17636.66711,17247.78181,7913.19,
Santa Izabel do Par&aacute;,1506500,izabelense,EVANDRO BARROS WATANABE,717.662,73019,101.75,98.3,0.659,11.71,109114.62635,104737.86385,11242.38,
Santa Luzia do Par&aacute;,1506559,santaluziense,ADAMOR AIRES DE OLIVEIRA,1346.502,20370,15.13,91.9,0.546,15.82,41151.81159,41861.89423,9506.34,
Santa Maria das Barreiras,1506583,barreirense,ADRIANO SALOM&Atilde;O COSTA DE CARVALHO FILHO,10330.214,16548,1.60,93.6,0.544,17.62,49657.17303,46086.12732,33661.09,
Santa Maria do Par&aacute;,1506609,santa-marianense,ALCIR COSTA DA SILVA,457.724,24624,53.80,98.2,0.598,14.81,42862.39045,40536.67157,12318.34,
Santana do Araguaia,1506708,araguaiense,EDUARDO ALVES CONTI,11591.441,32413,2.80,90.9,0.602,27.49,113525.60785,102803.55205,14967.72,
Santar&eacute;m,1506807,santareno,FRANCISCO N&Eacute;LIO AGUIAR DA SILVA,17898.389,331937,18.55,97.3,0.691,17.15,581235.34057,573368.15861,17950.24,
Santar&eacute;m Novo,1506906,santar&eacute;m-novense,THIAGO REIS PIMENTEL,229.510,6116,26.65,98.6,0.587,25.97,N&atilde;o informado,N&atilde;o informado,7551.36,
Santo Ant&ocirc;nio do Tau&aacute;,1507003,tauaense,EVANDRO CORR&Ecirc;A DA SILVA,537.618,27461,51.08,98.9,0.632,8.42,56135.95945,58915.27364,13538.43,
S&atilde;o Caetano de Odivelas,1507102,odivelense,FELIPA RODRIGUES DOS SANTOS RENDEIRO,464.166,16666,35.91,96.2,0.585,25.53,N&atilde;o informado,N&atilde;o informado,8702.57,
S&atilde;o Domingos do Araguaia,1507151,s&atilde;o dominguense do araguaia,ELIZANE SOARES DA SILVA,1392.464,21092,15.15,96.1,0.594,12.5,52660.08905,47441.83201,11764.62,
S&atilde;o Domingos do Capim,1507201,capinense,PAULO ELSON DA SILVA E SILVA,1686.765,30599,18.14,96.4,0.532,10.25,64333.28821,62581.21364,11574.83,
S&atilde;o F&eacute;lix do Xingu,1507300,xinguense,JO&Atilde;O CLEBER DE SOUZA TORRES,84212.903,65418,0.78,77.9,0.594,21.36,172101.0934,159804.07995,11939.09,
S&atilde;o Francisco do Par&aacute;,1507409,franciscano,MARCOS CESAR BARBOSA E SILVA,479.441,14894,31.07,97.7,0.608,15.69,32725.13533,33327.08788,15154.57,
S&atilde;o Geraldo do Araguaia,1507458,s&atilde;o-geraldense,JEFFERSON DOUGLAS JESUS OLIVEIRA,3168.384,24255,7.66,96.1,0.595,7.92,60679.05709,62493.95241,24266.56,
S&atilde;o Jo&atilde;o da Ponta,1507466,s&atilde;o jo&atilde;o pontense,FLORIANO DE JESUS COELHO,195.918,4430,22.61,99.1,0.583,36.14,16190.69784,12287.73454,8424.23,
S&atilde;o Jo&atilde;o de Pirabas,1507474,pirabense,KAMILY MARIA FERREIRA ARAUJO,668.434,20689,30.95,96.3,0.539,6.58,44328.57612,43717.30406,7745.77,
S&atilde;o Jo&atilde;o do Araguaia,1507508,s&atilde;o-joanense,MARCELLANNE CRISTINA SOBRAL MARTINS,1279.889,13465,10.52,91.6,0.550,-,32180.08926,27103.3216,11629.44,
S&atilde;o Miguel do Guam&aacute;,1507607,guamaense,EDUARDO SAMPAIO GOMES LEITE,1094.564,52895,48.33,96.9,0.591,12.29,98548.61935,97137.20067,12113.08,
S&atilde;o Sebasti&atilde;o da Boa Vista,1507706,boa-vistense,GET&Uacute;LIO BRABO DE SOUZA,1632.251,25643,15.71,93.7,0.558,3.47,393.38408,59893.94372,8466.33,
Sapucaia,1507755,sapucaiense,WILTON MIRANDA DE LIMA,1298.190,5847,4.50,94.8,0.590,23.53,22408.99645,22423.37985,19013.71,
Senador Jos&eacute; Porf&iacute;rio,1507805,porfiriense,DIRCEU BIANCARDI,14419.916,22576,1.57,92.4,0.514,17.42,39698.72651,38336.46774,17358.01,
Soure,1507904,sourense,CARLOS AUGUSTO DE LIMA GOUVEA,2857.349,24204,8.47,97.6,0.615,9.93,48794.00315,44630.28862,8500.36,
Tail&acirc;ndia,1507953,tailandense,PAULO LIBERTE JASPER,4430.477,72493,16.36,89.7,0.588,12.66,141061.05972,143241.69949,9896.47,
Terra Alta,1507961,terraltense,ELINALDO MATOS DA SILVA,204.970,10400,50.74,97.4,0.605,15.23,23596.5425,21981.62502,6509.40,
Terra Santa,1507979,terrasantense,ODAIR JOS&Eacute; FARIAS ALBUQUERQUE,1895.883,18782,9.91,97,0.635,3.28,56895.46651,51664.67033,22899.64,
Tom&eacute;-A&ccedil;u,1508001,tom&eacute;-a&ccedil;uense,CARLOS ANTONIO VIEIRA,5145.361,67305,13.08,95.6,0.586,11.57,132092.08387,131232.6483,12732.03,
Tracuateua,1508035,tracuateuense,JOS&Eacute; BRAULIO DA COSTA,868.025,28595,32.94,95.6,0.531,5.01,56631.79301,57503.32534,9458.60,
Trair&atilde;o,1508050,trairense,VALDINEI JOSE FERREIRA,11991.085,15242,1.27,94.3,0.562,16,39906.43042,36188.58052,14418.84,
Tucum&atilde;,1508084,tucumaense,CELSO LOPES CARDOSO,2512.594,39550,15.74,96.5,0.659,11.27,98824.77896,84497.75364,21472.56,
Tucuru&iacute;,1508100,tucuruiense,ALEXANDRE FRANCA SIQUEIRA,2084.289,91306,43.81,94.9,0.666,11.18,338038.62606,335173.35772,39674.02,
Ulian&oacute;polis,1508126,ulianopolense,KELLY CRISTINA DESTRO,5088.468,37972,7.46,82.7,0.604,12.29,87743.87199,80675.10062,30567.53,
Uruar&aacute;,1508159,uruaraense,GILSON DE OLIVEIRA BRAND&Atilde;O,10791.406,43558,4.04,92.1,0.589,16.86,81743.6408,79034.28471,15782.02,
Vigia,1508209,vigiense,JOB XAVIER PALHETA JUNIOR,401.589,50832,126.58,97.3,0.617,15.27,68851.99928,65569.57124,7733.05,
Viseu,1508308,viseuense,CRISTIANO DUTRA VALE,4972.897,58692,11.80,94.9,0.515,13.18,122753.47252,118303.90743,10032.98,
Vit&oacute;ria do Xingu,1508357,vitoriense,MARCIO VIANA ROCHA,3089.537,15599,5.05,94.2,0.596,8.45,123413.25866,127367.11757,250970.45,
Xinguara,1508407,xinguarense,MOACIR PIRES DE FARIA,3779.348,52893,14.00,96.6,0.646,12.96,97628.9096,108404.95849,31336.01,

